数量,酒店名,星级,档次,评分,价格,链接
1,北京丽景湾国际酒店,05,国家旅游局评定为五星级,4.5,868元,http://hotels.ctrip.com/hotel/452197.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_1
2,北京大方饭店,04,国家旅游局评定为四星级,4.5,538元,http://hotels.ctrip.com/hotel/691682.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_2
3,北京工大建国饭店,05,豪华型,4.7,730元,http://hotels.ctrip.com/hotel/467314.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_3
4,北京骏马国际酒店,04,高档型,4.5,559元,http://hotels.ctrip.com/hotel/1422167.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_4
5,北京东直门亚朵S酒店,05,豪华型,4.8,827元,http://hotels.ctrip.com/hotel/2231618.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_5
6,北京景里酒店,04,高档型,4.9,559元,http://hotels.ctrip.com/hotel/25748541.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_6
7,飘HOME连锁酒店(北京王府井店),02,经济型,4.4,294元,http://hotels.ctrip.com/hotel/436894.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_7
8,桔子酒店·精选(北京学院路店),03,舒适型,4.8,476元,http://hotels.ctrip.com/hotel/1994702.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_8
9,北京5L饭店,04,高档型,4.3,583元,http://hotels.ctrip.com/hotel/375126.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_9
10,北京金融街行政公寓,05,豪华型,4.8,1468元,http://hotels.ctrip.com/hotel/21785802.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_10
11,北京东交民巷饭店,04,高档型,4.5,698元,http://hotels.ctrip.com/hotel/427151.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_11
12,飘HOME连锁酒店(北京前门大栅栏店),02,经济型,4.6,968元,http://hotels.ctrip.com/hotel/447616.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_12
13,北京渔阳饭店,05,豪华型,4.3,756元,http://hotels.ctrip.com/hotel/439311.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_13
14,北京凤凰苏源大厦,03,国家旅游局评定为三星级,4.4,657元,http://hotels.ctrip.com/hotel/793504.html?isFull=F#ctm_ref=hod_sr_map_dl_txt_14
